id,question,ground_truth,llama3.1,llama3 1_instruct,fine_tuned_llama3 1,fine_tuned_llama3.1_instruct
4964,ما هي العقوبة المنصوص عليها للشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293؟,يعاقب الشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293 بالعقوبة المنصوص عليها في المادة 292 من القانون.,هي المادة 293 من قانون العقوبات والتي تنص على أن من واقع أنثى (غير زوجه) لا تستطيع المقاومة بسبب ضعف أو عجز جسدي أو نفسي أو عقلي يعد مرتكبا للجرم المنصوص عليه في المادة (,"الجواب هو: 
تعاقب مرتكب الجريمة بالسجن الأربعة سنين و الغرامات من مائة إلى مئتي دينار.  و في حالة الإصابة بالمرض النفسي نتيجة للجريمة، تعاقب بال",يعاقب بالعقوبة المنصوص عليها في المادة 292 من القانون.,يُعاقب بالعقوبة المنصوص عليها في المادة 292.
3869,كم تكون مدة تعيين مجلس الإدارة؟,لا تزيد مدة تعيين مجلس الإدارة على أربع سنوات.,"هذا القانون جعل مدة مجلس الإدارة لا تزيد عن أربع سنوات، ويمكن إعادة انتخابه، ولكن لا يمكن تعيينه، ويجوز له عقد اجتماعاته بواسطة الهاتف أو أي وسيلة اتصال أخرى، وله صلاحيات، ومكافأة،","حسب المادة 72 - مكررة في قانون شركات المساهمة الخاصة في الأردن، يحدد النظام الأساسي للشركة مدة تعيين مجلس الإدارة، لكنها لا تزيد عن أربع سنوات. هذه المادة تشير إلى أن مجلس الإدارة يحدد صلاح",لا تزيد على اربع سنوات.,تحدد مدة تعيين مجلس الإدارة في النظام الأساسي للشركة.
2788,ما الذي يجب على الطرفين ألا يقوما به في لائحتهما الجوابية؟,يجب على الطرفين عدم نكران ادعاءات الطرف الآخر مجملاً في لائحتهما الجوابية.,"The following are the things that should be avoided in the defendant's responsive statement:

- The defendant should not deny the plaintiff's claim in a general way, but should respond to the items in the plaintiff's statement of claim.
- The defendant should not be able to submit any evidence in the case if he does not submit","يجب على الطرفين ألا يقوما بهما ما يلي في لائحتهما الجوابية:
أ- إنكار ادعاء الخصم في اللائحة المقدمة منه.
ب- عدم الرد على البنود الواردة في لائحة الخصم",يجب عليهم عدم منكرين ادعاء خصمه وبدء البحث في كل أمر واقي من ذلك.,يجب على الطرفين ألا ينكر انكارا مجملا ادعاء خصمه في اللائحة المقدمة منهم.
5403,ما المصنفات التي لا تشملها حماية القانون وفق المادة 7؟,القوانين والأنظمة والأحكام القضائية والقرارات الإدارية والاتفاقيات الدولية والوثائق الرسمية والترجمات الرسمية لها.,مصنفات النصوص والترجمات والموسوعات والإحصاءات والقوانين والأنظمة والأحكام القضائية والقرارات والمواد الرسمية والترجمات الر,"لا تشمل حماية القانون وفق المادة 7، المصنفات التي لا تشملها حماية القانون هي:
أ- القوانين والأنظمة والأحكام القضائية وقرارات الهيئات الادارية والاتفاقيات الدولية وسائر الوثائق الرسمية",المصنفات التي لا تشملها حماية القانون هي القوانين والأنظمة والأحكام القضائية وقرارات الهيئات الإدارية والأحكام الدولية والوثائق الرسمية والترجمات الرسمية.,"المصنفات التي لا تشملها حماية القانون هي القوانين والأنظمة والأحكام القضائية وقرارات الهيئات الإدارية والاتفاقيات الدولية وسائر الوثائق الرسمية والترجمات الرسمية لهذه المصنفات أو أي جزء منها،"
899,ما هي الحالة التي يحق للحارس الحصول على أجر مثله؟,عندما لا يشترط الحارس الحصول على أجر ويكون من العمال الذين يعملون بأجر.,"The employee has the right to receive his wage, if he is working, and if he is not working, he has the right to receive his wage.

### Input:
المادة 905
اذا اشترط الحارس اجرا استحقه بايفاء العمل وان لم يشترطه وكان ممن يعملون با","حسناً. يعتبر الحارس الشخص الذي يقوم بحراسة المكان أو الموقع أو الممتلكات، ويقوم بذلك عن طريق مراقبة وتأمين المكان أو الموقع أو الممتلكات. في حال كان الحارس يأجر عملًا محددًا،",اذا اشترط الحارس اجرا استحقه بايفاء العمل وان لم يشترطه وكان ممن يعملون باجر.,يحق للحارس الحصول على أجر مثله إذا كان ممن يعملون باجر.
4339,ما هي المدة المسموح فيها للجنة التنفيذية لتزويد المراقب بمحاضر الاجتماعات؟,يجب على اللجنة التنفيذية تزويد المراقب بمحاضر الاجتماعات خلال سبعة أيام من تاريخ انعقادها.,"According to the Jordanian Companies Law, the Executive Committee is responsible for providing the supervisor with the minutes of the meetings within seven days of the meeting.",المادة 230 من قانون الشركات في الأردن تحدد أن اللجنة التنفيذية تودي المراقب بمحاضر اجتماع الهيئة العامة لكل شركة خلال سبعة أيام من تاريخ انعقاد الاجتماع. هذا يعني أن اللجنة التنفيذية لديها,يجب على اللجنة التنفيذية تزويد المراقب بمحضر اجتماع الهيئة العامة لكل شركة خلال سبعة أيام من انعقاد الاجتماع.,خلال سبعة أيام من تاريخ انعقاد الاجتماع.
4238,ما هو دور الهيئة العامة للشركة والمجلس الإدارة فيما يتعلق بانتخاب مدقق الحسابات؟,تنتخب الهيئة العامة للشركة مدقق الحسابات ويتم تحديد أتعابهم بالتفويض من قبل المجلس الإدارة.,"المدقق هو الشخص الذي يقوم بمراجعة الحسابات المالية للشركة ويجعلها في شكل يرضي الشركات التي تقوم بإدارةها. ويجعلها في شكل يرضي الشركات التي تقوم بإدارتها. في حالات معينة ، قد تطلب","يتم انتخاب مدقق الحسابات من قبل الهيئة العامة لكل من الشركة المساهمة العامة وشركة التوصية بالأسهم والشركة المحدودة المسؤولية والشركة المساهمة الخاصة، حيث تنتخب الهيئة العامة مدققاً أو أكثر من بين مدققي الح",يختار الهيئة العامة مدقق الحسابات وتقرر بدل أتعابهم.,يجب على الهيئة العامة لكل شركة انتخب مدقق الحسابات ويتوجب على مجلس الإدارة تحديد بدل أتعابهم.
5473,ما هي مسؤولية الشخص الذي وجه ونظم ابتكار المصنف الجماعي؟,يلتزم بنشر المصنف باسمه وتحت ادارته.,The person who initiates and organizes the collective work has the responsibility of managing the collective work. He is the only one who has the right to exercise the rights of the author in the collective work.,"المسؤولية للشخص الذي وجه ونظم ابتكار المصنف الجماعي هي ممارسة حقوق المؤلف في المصنف، وهو الحق الوحيد في ممارسة حقوق المؤلف في المصنف. هذا هو ما يحدده القانون في المادة 35. يُعت",الشخص الذي وجه ونظم ابتكار المصنف الجماعي يكون له وحده ممارسة حقوق المؤلف في المصنف.,يجب عليه ممارسة حقوق المؤلف وحده.
5836,متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟,يحق للنقيب أن يتخذ صفة المدعي في كل قضية تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.,"متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟

### Answer:
متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟

### Answer:
متى يحق للنقيب أن يتخذ صفة المدعي في","حسناً. يعتبر النقيب يحق له ان يتخذ صفة المدعي في القضايا المتعلقة بافعال تمس كرامة النقابة او كرامة احد اعضائها.  
المصدر: قانون النقيب. 
المصدر: قانون",يحق للنقيب أن يتخذ صفة المدعي في القضايا التي تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.,يحق للنقيب أن يتخذ صفة المدعي في قضايا تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.
4035,ما هي الشروط المطلوبة لأسناد القرض وإصداره بواسطة مجلس إدارة الشركة؟,يشترط موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل.,"The conditions required for the issuance of bonds and its approval by the board of directors are:

1. The board of directors must approve the issuance of bonds by a majority of the members of the board.
2. The General Assembly must approve the issuance of bonds.
3. The General Assembly must approve the increase of the company","يجب أن تحصل على موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل، وايضا يجب الحصول على موافقة الهيئة العامة غير العادية للشركة. إذا كانت الأسناد قابلة للتحويل إلى أسهم، في",يشترط في أسناد القرض موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل وإصدارها بواسطة مجلس إدارة الشركة.,يجب أن يكون إصدار أسناد القرض موافقاً لأغلبية ثلثي أعضاء مجلس الإدارة على الأقل.
5141,ما هو تأثير تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به؟,يعتبر أنه هو صاحب ذلك المحل سواء أكان هو صاحبه الحقيقي أم لم يكن.,"The effect of the conduct of the person entrusted with the management of the place and its neglect and care of it is that he is considered the owner of the place, whether he is the actual owner or not.","يتأثر تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به بحيث يعتبر أنه هو صاحب ذلك المحل، سواء كان هو صاحبه الحقيقي أم لم يكن.

### Note:
سوف أقوم بكتابة الإجابة باللغة العربية",يعتبر الشخص الذي يشرف على إدارة المحل أو يتصرف به تصرف الشخص المعهود له أمر تفقده والعناية به أنه هو صاحب المحل سواء كان هو صاحبه الحقيقي أم لم يكن.,يُعتبر الشخص الذي يشرف على إدارة المحل وصاحب المحل سواء أكان هو صاحب المحل الحقيقي أم لم يكن.
4202,ما يجب أن تقوم به المراقب أو من ينتدبه بخصوص القسيمة المودعة في مركز الشركة؟,يتولى المراقب أو من ينتدبه تدقيق القسيمة المودعة في مركز الشركة.,"المراقب أو من ينتدبه يجب أن يقوم بالتدقيق على القسيمة المودعة في مركز الشركة قبل ثلاثة أيام على الأقل من التاريخ المحدد لاجتماع الهيئة العامة.

### Answer:
المراقب أو من ينتدبه يجب أن يق","يجب على المراقب أو من ينتدبه، أن يقوم بتدقيق القسيمة المودعة في مركز الشركة قبل اجتماع الهيئة العامة. هذا، بالإضافة إلى أنه يجب أن تودع القسيمة في مركز الشركة قبل ثلاثة أيام على الأقل من التاريخ المحد",يتولى المراقب أو من ينتدبه تدقيقها.,يجب على المراقب أو من ينتدبه أن يودع القسيمة في مركز الشركة قبل ثلاثة أيام على الأقل من التاريخ المحدد لاجتماع الهيئة العامة.
3651,ما هي التزامات شركة التضامن تجاه أي عمل يقوم به شخص مفوض بإدارتها؟,"تلتزم شركة التضامن بأي عمل يقوم به شخص مفوض بإدارتها وبأي مستند وقعه باسم الشركة، سواء كان شريكًا في الشركة أو لم يكن.","أ- تلتزم شركة التضامن باي عمل قام به اي شخص مفوض بإدارتها أو القيام بذلك العمل وبأي مستند وقعه باسم الشركة سواء كان شريكاً في الشركة أو لم يكن.
ب- يعتبر الشخص المفوض بإ",تلتزم شركة التضامن باي عمل قام به أي شخص مفوض بإدارتها أو القيام بذلك العمل وبأي مستند وقعه باسم الشركة سواء كان شريكاً في الشركة أو لم يكن. ويعتبر الشخص المفوض بإدارة شؤون,تلتزم شركة التضامن باي عمل يقوم به شخص مفوض بإدارتها أو القيام به.,تلتزم شركة التضامن باي عمل يقوم به شخص مفوض بإدارتها أو القيام بذلك العمل وبأي مستند وقعه باسم الشركة سواء كان شريكاً في الشركة أو لم يكن.
957,متى يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية؟,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول.,"The answer to this question is that the court may release the bailor himself from the threatening fine when he proves his inability to bring the bailor himself. If the bailor has promised to pay a certain amount on behalf of the bailor, he is obliged to pay that amount, and the court may release him from",يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول في الوقت المعين. كما أن المحكمة لها الصلاحية أن تعفيه من الغرامة إذا تبين لها ما يبر,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول في الوقت المعين.,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول في الوقت المعين.
5491,متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟,عند قرار المحكمة أو قاضي الأمور المستعجلة بإجابة طلب صاحب الحق وتحديد نوع ومقدار التأمين.,"متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟
إذا قررت المحكمة أو قاضي الأمور المستعجلة إجابة طلب صاحب الحق في أي من الحالات المنصوص عليها في الفق",ينبغي للمحكمة أن تُلزم الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة إذا قررت إجابة طلب صاحب الحق في أي من الحالات المنصوص عليها في الفقرة (أ) من المادة 46,عندما يقرر المحكمة أو قاضي الأمور المستعجلة إجابة طلب صاحب الحق.,عندما يظهر أن الطالب غير محق في دعواه.
5294,ما هي الدعاوى المتعلقة بالأعمال المصرفية التي تدخل ضمن اختصاص محاكم البداية؟,"التي تزيد قيمة المطالبة في كل منها على مائة ألف دينار، بما فيها الاعتمادات والضمانات المصرفية.",أ- تشكل محاكم تسمى (محاكم البداية) في المحافظات أو الألوية أو أي مكان آخر بمقتضى نظام يحدد فيه الاخت,يدخل الدعاوى المتعلقة بالأعمال المصرفية التي تزيد قيمة المطالبة فيها على مائة ألف دينار ضمن اختصاص محاكم البداية. كما تشمل هذه الدعاوى الدعاوى المتعلقة بالاعتمادات المستندية وخطابات الضمان,الدعاوى المتعلقة بالأعمال المصرفية التي تزيد قيمة المطالبة فيها على 100 ألف دينار.,الدعاوى المتعلقة بالأعمال المصرفية.
907,ما يعنيه أن يكون اتفاق على مقامرة أو رهان محظور باطلا وفقاً للمادة 915؟,يعني أن أي اتفاق يتعلق بالمقامرة أو الرهان الذي يعتبر محظوراً سيكون باطلاً وغير ملزم قانونياً.,يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن يكون اتفاقًا على مقامرة أو رهان محظورًا باطلاً وفقًا للمادة 915.,"حسناً. وفقاً للمادة 915، يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن مثل الاتفاق يكون غير صحيح أو غير ملزم، مما يعني أن المشاركين في مثل الاتفاق لا يلتزمون بمعاه",يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن يكون الاتفاق غير صحيح أو غير قانوني وفقاً للمادة 915 من القانون.,يعني أن يكون الاتفاق على مقامرة أو رهان محظور باطلاً يعني أنه غير قانوني ويمكن رفضه أو إلغائه.
4105,ما الإجراء الذي يجب أن يتخذه الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة ولم يكن حاضراً؟,يجب عليه أن يعلن عن قبوله بالعضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه بنتيجة الانتخاب.,"If a person was elected as a board member of a company, and he was absent, he must announce his acceptance or rejection of the membership within ten days of being notified of the election, and his silence is considered acceptance.",يجب أن يتخذ الشخص الذي تم انتخابه عضوا في مجلس إدارة شركة ولم يكن حاضراً الإجراء التالي: إعلان قبوله بتلك العضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه نتيجة الانتخاب. ويع,يجب على الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة أن يعلن عن قبوله بتلك العضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه نتيجة الانتخاب.,يجب عليه أن يعلن عن قبوله بتلك العضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه.
721,ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟,لا يجوز أن يتجاوز اجر المزارع قيمة حصته من المحصول في أي حال من الأحوال.,"ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟

#### Answer:
ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟

ما هو الح","يحصل المزارع على جار أجر مثل عمله في حالة فسخ عقد المزارعة، والذي لا يجوز أن يتجاوز قيمة حصة صاحبه من المحصول. إذا كان صاحب البذر هو المزارع، فإنه يحصل على جار أجر مثل",لا يجوز في الحالتين أن يتجاوز اجر مثل العمل أو الأرض قيمة حصة صاحبه من المحصول.,لا يجوز أن يتجاوز قيمة الأجر قيمة حصة المزارع من المحصول.
1863,ما العمل الذي يجب على صاحب العمل القيام به بعد تبليغه بأوراق الدعوى؟,يجب عليه تقديم جواب مفصل على اللائحة لكل واقعة وفق ما يطلبه العامل.,The employer is required to submit to the court a response to the complaint within ten days of being notified of the complaint. The response must include the facts and evidence that prove that the employee is not entitled to the wages he claims or that the employer has paid the employee the wages he is entitled to. The court may order,يجب على صاحب العمل تقديم جواب مفصل على لائحة الدعوى عن كل واقعة من وقائعها مرفقاً به المستندات والبيانات التي تثبت وفائه بالأجور التي يطالب بها العامل أوعدم استحقاقه,يجب عليه أن يقدم جواباً مفصلاً على لائحة الدعوى.,يجب عليه أن يقدم جواباً مفصلاً على لائحة الدعوى.
2002,كم تكون العقوبة عند تكرار حالة النقص أو الزيادة غير المبرر؟,يعاقب المخالف بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن 1000 دينار ولا تزيد عن 3000 دينار.,"According to the law, the punishment is as follows: If the case of shortage or increase is repeated, the punishment will be a fine of no less than 500 Jordanian dinars and no more than 1000 Jordanian dinars. If the case is repeated again, the punishment will be imprisonment for a period",يتم تطبيق العقوبة عند تكرار حالة النقص أو الزيادة غير المبرر بمقدار الحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن ألف دينار ولا تزيد على ثلاثة آلاف دينار. ويعتبر تكرار,يُعاقب بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن ألف دينار ولا تزيد على ثلاثة آلاف دينار.,الحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن ألف دينار ولا تزيد على ثلاثة آلاف دينار.
2906,متى يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى؟,يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف لعدم أمتثاله للاِشعار.,"متى يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى؟

لا يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إلا إذا كان هناك سبب أو عذر كاف لإعتر","يحق للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف لعدم امتثاله للاشعار. 

في حالة عدم امتثال الفريق لاشعار بلوغ",يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف.,يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف لعدم امتثاله.
163,ما هو تعريف الفسخ والاجازة في القانون المدني الأردني؟,الفسخ أو الاجازة هما بمعنى فسخ العقد أو السماح بالتنفيذ القانوني له بشكل صريح أو دال.,"ما هو تعريف الفسخ والاجازة في القانون المدني الأردني؟
لابد من ذكر تعريف الفسخ والاجازة في القانون المدني الأردني.
لذلك نقول: الفصل الأول- مصادر الحقوق الشخصية - القانون المدني الأردني لس","تعريف الفسخ والاجازة في القانون المدني الأردني هو الفعل أو القول الذي يدل على الفسخ أو الاجازة صراحة أو دلالة، ويعتبر هذا الفعل أو القول بمثابة اختيار الفسخ أو الاجازة. إذا","الفسخ والاجازة هما تعبيران عن فسخ العقد أو إلغائه، وفقاً للمادة 181 من القانون المدني الأردني.","الفسخ والاجازة هما تعبيران عن فسخ العقد أو اجازته، ويجب أن يكونا صراحة أو دلالة في العقد."
3533,ما العقوبة المنصوص عليها للشخص الذي يرتكب جريمة بقصد وفقا للمادة 5؟,يُعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.,القانون الجنائي يفرق بين الجرم الخطأ والجرم القصدي ويعاقب الجرم الخطأ بالحبس لمدة لا تزيد عن سنة والجرم القصدي بموجب قانون العقوبات,"العقوبة المنصوص عليها للشخص الذي يرتكب جريمة بقصد وفقا للمادة 5 هي بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون. 

العقوبة هي الحبس لمدة لا تتجاوز سنتين إذا",يعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.,يعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.
417,ما هي الآثار المتعلقة بتعدد طرفي التصرف التضامن بين المدينين؟,"تعدد طرفي التصرف التضامن بين المدينين ينظمه في القانون المدني، ويمكن الرجوع إلى أحكام التضامن في هذا القانون لمزيد من التفاصيل.","تعدد طرفي التصرف هو عندما يوجد أكثر من طرف في التصرف سواء كان طرف التصرف هو المالك أو المدين أو المدينون معاً.
التضامن بين المدينين هو عندما يوجد أكثر من مدين متضامنين في الدين سواء كان","حسناً. الإجابة هي الآثار المتعلقة بتعدد طرفي التصرف التضامن بين المدينين هي أن الدائن قد يطالب بدينه كل المدينين المتضامنين أو بعضهم، و لكل مدين أن يعترض عند مطالب","يمكن للدائن أن يطالب بدينه كل المدينين المتضامنين أو بعضهم، ويمكن لكل مدين أن يعترض عند مطالبته بالوفاء باوجه الاعتراض الخاصة به أو المشتركة بين المدينين.",تعدد طرفي التصرف التضامن بين المدينين يؤثر في الدين ويمكن للدائن طلب دينه من المدينين المتضامنين أو بعضهم.
3295,ما هي المدة القصوى التي يمكن تمديدها لاصدار حكم التحكيم؟,يمكن تمديد مدة اصدار حكم التحكيم مرة واحدة أو أكثر على ألا تزيد عن اثني عشر شهرا.,"The maximum time period for the issuance of a ruling by the arbitration tribunal can be extended by the arbitration tribunal by a maximum of two years from the date of completion of the tribunal's formation. In the absence of an agreement between the parties, the tribunal must issue a ruling within eighteen months of the completion of the tribunal's","المادة 37 من قانون التحكيم في الأردن (حسناً في قانون التحكيم في الأردن) تنص على أن يصدر حكم التحكيم كلها خلال الميعاد الذي اتفق عليه الطرفان. إذا لم يوجد اتفاق، يجب أن يص",اثني عشر شهرًا من تاريخ اكتمال تشكيل هيئة التحكيم.,يمكن تمديدها لمدة لا تزيد على اثني عشر شهرا.
5037,ما هي العقوبة المحتملة للفاعل إذا لم ينجم عن أفعاله مرض أو تعطيل عن العمل ولكن مدتها لم تتجاوز العشرين يومًا؟,"الحبس لمدة لا تزيد على سنة أو غرامة لا تزيد على مائة دينار، أو كلتا العقوبتين.","The punishment for the person if the result of their actions is not a disease or absence from work, but its duration did not exceed twenty days is: imprisonment for a period not exceeding one year, or a fine not exceeding 100 dinars, or both.

### Explanation:
The punishment for the person if the result of","العقوبة المحتملة للفاعل في هذه الحالة هي الحبس مدة لا تزيد على سنة أو بغرامة لا تزيد على مائة دينار أو بكلتا هاتين العقوبتين. 

### Note:
حسناً. هذا هو الإجابة الصحيحة",يُعاقب بالحبس لمدة لا تزيد على سنة أو بغرامة لا تزيد على مائة دينار أو بكلتا العقوبتين.,يُعاقب بالحبس لمدة لا تزيد عن سنة أو بغرامة لا تزيد عن مائة دينار أو بكلتا العقوبتين.
2950,ما هي الحالات التي يُسمح فيها للمدعي بإسقاط دعواه؟,يُسمح للمدعي بإسقاط دعواه في غيبة المدعى عليه أو بموافقته إذا كان حاضرا.,"تجاوز المدعي 30 يوما من تاريخ صدور الحكم الأولي.
يستعرض المدعي دعواه في الدعوى المقبلة.
تجاوز المدعي 30 يوما من تاريخ صدور الحكم الأولي.
يستعرض المدعي دعواه في الد",حسناً. يمكن للمدعي إسقاط دعواه في حالات الغيبة أو الموافقة على إسقاط الدعوى إذا كان المدعى عليه حاضرا. هذه الحالة تحدد في المادة 126 من قانون الدعاوى الجزئية. لا,يُسمح للمدعي بإسقاط دعواه في حالة غيبة المدعى عليه أو موافقته إذا كان حاضراً.,يُسمح للمدعي بإسقاط دعواه في حال غيبة المدعى عليه أو موافقته كان حاضراً.
3163,متى يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها؟,يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها مع مراعاة أحكام أي قانون خاص يسمح بذلك.,أ. اذا كان الالتزام التعاقدي في غير المواد التجارية تزيد قيمته على مئة دينار أو كان غير محدد القيمة فلا تجوز الشهادة في إثبات وجود الالتزام أو البراءة منه ما لم يوجد اتفاق أو نص يقضي بغير,يُجيز الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها بموجب المادة 28 البند ب. من قانون الإجراءات المدنية. يُشدد في هذه الحالة على جواز الإثبات بالشهادة في ال,يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها بموجب أحكام المادة 28.,"يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها، وفقاً للمادة 28."
1326,متى تعتبر مرتبة الرهن التأميني؟,تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل.,"متى تعتبر مرتبة الرهن التأميني؟
المادة 1350
تعتبر مرتبة الرهن التاميني من تاريخ تسجيله في دائرة التسجيل.
2. ويحتفظ بمرتبته حتى يقيد بدائرة التسجيل ما يدل على انقضائه",تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل. ويحتفظ بمرتبته حتى يقيد بدائرة التسجيل ما يدل على انقضائه. وهذا يعني أن مرتبة الرهن التأميني تظل سارية حتى يتم,تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل.,تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل.
1414,ما هي المرتبة التي يحتلها امتياز صاحب الفندق وفقاً للمادة 1443 من القانون المدني الأردني؟,يكون لامتياز صاحب الفندق مرتبة المؤجر وفقاً للمادة 1443 من القانون المدني الأردني.,"The privilege of the hotel owner is in the second rank according to the Jordanian Civil Law article 1443. If the two rights meet, they will give the owner of the first right his date earlier than the other.","حسناً، بحسب المادة 1443 من القانون المدني الأردني، يحتل امتياز صاحب الفندق مرتبة المؤجر. إذا اجتمع الحقان، يأتي صاحب الفندق في الأول. إذا لم يكن غير نافذ في حق الآخر، يأتي",يكون امتياز صاحب الفندق مرتبة المؤجر وفقاً للمادة 1443 من القانون المدني الأردني.,يحتل امتياز صاحب الفندق مرتبة المؤجر وفقاً للمادة 1443 من القانون المدني الأردني.
1415,ما هو المادة 1444 من القانون المدني الأردني؟,تتعلق المادة 1444 من القانون المدني الأردني بامتياز البائع على المنقول بالثمن وملحقاته.,"The answer to this question can be found in the input provided. The input includes the text of Article 1444 of the Jordanian Civil Code of 1976, which states that a seller of movable property has a right to the price and its accessories, and this right continues as long as the movable property remains unchanged",المادة 1444 من القانون المدني الأردني تتعامل مع امتياز البائع بالثمن وملحقاته للمنقول. يظل هذا الامتياز قائماً حتى يتغير حال المنقول. يأخذ هذا الامتياز بعين الاعتبار حقوق من,المادة 1444 من القانون المدني الأردني.,المادة 1444 من القانون المدني الأردني تنص على أن لبائع المنقول يبقى له امتياز بالثمن وملحقاته حتى إذا كان المنقول محتفظاً بذاتيته.
4580,ماذا تحول أحكام التقادم دونه؟,تحول أحكام التقادم دون تنفيذ العقوبات.,"The answer is ""The provisions of the statute of limitations prescribed in the Code of Criminal Procedure are waived in the implementation of the punishments.""","حسناً. تُحول أحكام التقادم المنصوص عليها في قانون أصول المحاكمات الجزائية دون تنفيذ العقوبات، بموجب المادة 54. هذه المادة تعيد توجيه هذه القواعد، مما يعني أن أحكام التقادم ت",تحول أحكام التقادم المنصوص عليها في قانون أصول المحاكمات الجزائية دون تنفيذ العقوبات.,تحول أحكام التقادم المنصوص عليها في قانون أصول المحاكمات الجزائية تحول دون تنفيذ العقوبات.
