id,question,ground_truth,fine_tuned_llama3.1
4058,كيف يتم انتخاب أعضاء مجلس إدارة الشركة المساهمة العامة؟,يتم انتخابهم من قبل الهيئة العامة للشركة بالاقتراع السري والتصويت النسبي.,يتم انتخاب أعضاء مجلس إدارة الشركة المساهمة العامة بالاقتراع السري والتصويت النسبي.
1390,ما هو تأثير الامتياز على حقوق حائز المنقول إذا كان حسن النية؟,لا يؤثر الامتياز على حقوق حائز المنقول إذا كان حسن النية.,لا يؤثر الامتياز على حقوق حائز المنقول إذا كان حسن النية.
5318,ما هي الغرفة الاقتصادية التي تنشأ لدى محكمة استئناف عمان؟,تنشأ لدى محكمة استئناف عمان غرفة اقتصادية تضم هيئة واحدة أو أكثر.,تنشأ غرفة اقتصادية تضم هيئة واحدة أو أكثر.
2387,ما هو اسم الصندوق الذي يتم تأسيسه لتقديم المساعدة القانونية؟,صندوق المساعدة القانونية أمام المحاكم.,صندوق المساعدة القانونية.
1915,ما هي الشروط التي يجب توفرها للتحاق ببرنامج المعالجة؟,تحديد من قبل الطبيب النفسي أو الاجتماعي.,يجب أن يكونوا مدمنين على تعاطي المواد المخدرة.
3043,ما هو عقوبة الإهمال في إرسال الملف في الموعد المحدد؟,يمكن لمحكمة الاستئناف أن تحكم بغرامة لا تزيد على خمسين دينارا.,يحق لمحكمة الاستئناف تحديد غرامة لا تزيد عن خمسين دينارا.
3432,في أي حالة يُسمح للرئيس بالسماح باستعمال الأشياء المحجوزة؟,إذا كان مالكها أو صاحب الحق في الانتفاع بها يستعملها في ما خصصت له.,يُسمح للرئيس باستعمال الأشياء المحجوزة في حالة كان مالكها أو صاحب الحق في الانتفاع بها يستعملها فيماخصصت له.
2017,كيف يتم تحديد مكافآت أعضاء اللجنة؟,يتم تحديد مكافآت أعضاء اللجنة وسائر الشؤون المتعلقة بها بموجب نظام يصدر لهذه الغاية.,يتم تحديد مكافآت أعضاء اللجنة بموجب النظام الذي يصدر لهذه الغاية.
2078,ما الإجراء الذي يجب اتخاذه إذا قصر موظفو الضابطة العدلية في القيام بمهامهم؟,يجب على المدعي العام تنظيم ضبط بالواقعة ورفعه إلى النائب العام.,يجب على المدعي العام تنظيم ضبط بالواقعة ورفعه إلى النائب العام.
5170,ما هي العقوبة لشخص يشتري مركبة مسروقة ويعلم بذلك؟,الحبس من سنة إلى ثلاث سنوات.,الحبس من سنة إلى ثلاث سنوات.
5161,ما هو عقوبة الحبس لشخص يرتكب سرقة غير مبينة في المادة 407؟,يعاقب بالحبس من ستة أشهر الى سنتين.,الحبس من ستة أشهر الى سنتين.
5107,ما هو العقوبة المفروضة في حال أدى الحادث إلى وفاة أحد الأشخاص؟,الإعدام، وفقاً للمادة 381 التي تزيد نصف العقوبات في حال وقوع وفاة أحد الأشخاص بسبب الحادث.,يُزيد العقوبات المذكورة في المواد السابقة نصفها في حال أدى الحادث إلى وفاة أحد الأشخاص.
3548,متى يمكن للنائب العام إجراء المصالحة مع حائز المال؟,عندما يتم إعادة المال محل الجريمة والمنافع المرتبطة به.,يمكن للنائب العام إجراء المصالحة مع حائز المال في حال رد المال أو تسوية عليه.
2839,كيف يتم تنظيم شؤون الخبرة أمام المحاكم النظامية؟,تنظم شؤون الخبرة بموجب نظام يصدر لهذه الغاية.,تنظم شؤون الخبرة أمام المحاكم النظامية بمقتضى نظام يصدر لهذه الغاية.
3493,ما هو الشرط الذي يمنع قبول عرض بزيادة عشرة بالمائة بعد اعادة البيع؟,عدم وجود عرض آخر بمبلغ يزيد على ذلك الزيادة.,يمنع قبول عرض بزيادة عشرة بالمائة بعد اعادة البيع إذا كانت الاحالة قد سبقت عرض آخر يزيد على ذلك.
277,ما هو تأثير المادة 287 في حالة ازالة التصرف؟,تكافؤ المادة 287 بين التصرف والغصب يعني أنه يُعامل التصرف بنفس القوانين التي تُطبق على الغصب.,تُعتبر المادة 287 متساوية في تأثيرها مع المادة 286، وتُعتبر كل ما هو مساو للغصب في ازالة التصرف كحكم الغصب.
2758,ما هي السلطة المختصة في حال وقوع منازعات تتعلق بمصروفات الدعاوى وأتعاب المحاماة بصورة تبعية؟,السلطة المختصة هي المحكمة التي فصلت في أصل الدعوى وفق المادة 46، مع مراعاة عدم التداخل مع أحكام قانون نقابة المحامين.,المحكمة التي فصلت في أصل الدعوى.
5652,هل تشمل القاعدة المذكورة في المادة 11 الاشتغال بالصحافة الحقوقية؟,لا، لا تشمل القاعدة الاشتغال بالصحافة الحقوقية والثقافية.,نعم، تشمل القاعدة المذكورة في المادة 11 الاشتغال بالصحافة الحقوقية.
2843,ما هي المادة التي تنظم تعيين الخبراء في القانون؟,المادة 84.,المادة 84.
1637,ما هو الأساس الذي يعتمد لحساب مكافأة نهاية الخدمة عندما يتم حساب الأجر على أساس العمولة أو القطعة؟,عندما يحسب الأجر على أساس العمولة أو القطعة، يعتمد لحساب مكافأة نهاية الخدمة على المتوسط الشهري للأجر الحقيقي الذي تقاضاه العامل خلال الاثني عشر شهراً السابقة لانتهاء خدمته.,يعتمد لحساب المكافأة المتوسط الشهري الذي تقاضاه العامل فعلاً خلال الاثني عشر شهراً السابقة لانتهاء الخدمة.
385,هل يمكن للدائنين الطعن في تصرفات المدين بعد انتهاء الحجر؟,نعم، يمكن للدائنين الطعن في تصرفات المدين بعد انتهاء الحجر وفقا للمواد 366 ومن 368 الى 374.,نعم، يمكن للدائنين الطعن في تصرفات المدين بعد انتهاء الحجر وفقا للمواد 366 و368-374.
4652,ما هو الشرط الذي يجب أن تلتزم به الجنحة الثانية للمتهم وفقا للمادة 102؟,يجب أن تكون الجنحة الثانية مماثلة للجنحة الأولى.,يجب أن تلتزم الجنحة الثانية للمتهم بمدة لا تتجاوز ضعف العقوبة التي تستلزمها جريمته الثانية، على أن لا تتجاوز هذه المدة خمس سنوات.
2037,متى يمكن قبول الشكوى أو الادعاء الشخصي إذا كان المجنى عليه شخصاً معنوياً؟,بعد تقديم طلب خطي من الممثل القانوني للشخص المعنوي أو من ينوب عنه.,يمكن قبول الشكوى أو الادعاء الشخصي بناءً على طلب خطي من الممثل القانوني للشخص المعنوي أو من ينوب عنه.
3799,ما هو تأثير تغيير حصة شريك في الشركة على السجل الخاص بالشركاء؟,يجب تدوين أي تغيير يطرأ على حصة الشريك في الشركة، مع تفاصيله وتاريخ وقوعه، في السجل الخاص بالشركاء.,يُتأثر السجل الخاص بالشركاء بالتغيير.
3846,ما هي البيانات التي يجب أن تتضمنها البند العاشر في النظام الأساسي للشركة المساهمة؟,أسماء الأشخاص الذين سيتولون دعوة الهيئة التأسيسية وإدارة الشركة.,تتضمن البيانات المالية للشركة.
3958,متى يمكن للوزير أن يسمح بتأسيس شركة مساهمة عامة بواسطة مؤسس واحد؟,بناءً على تنسيب مبرر من المراقب.,يمكن للوزير أن يسمح بتأسيس شركة مساهمة عامة بواسطة مؤسس واحد بناءً على تنسيب مبرر من المراقب.
4575,ما هي النتيجة القانونية لوقوع التقادم في قضية جنائية؟,يؤدي وقوع التقادم إلى سقوط الحق في متابعة الجناية وتوقف الإجراءات القضائية ضد المتهم.,تسقط الأحكام الجزائية وتمنع تنفيذها أو تؤجل صدورها.
1010,ماذا ينص المادة 1026 من النصوص القانونية؟,تنص المادة 1026 على أنه إذا كان لأحد ملك يتصرف فيه تصرفاً مشروعاً فاحدث غيره بجواره بناء تضرر من الوضع القديم، فليس للمحدث أن يدعي التضرر من ذلك.,تنص المادة 1026 على أنه إذا كان لاحد ملك يتصرف فيه تصرفاً مشروعاً فاحدث غيره بناء تضرر من الوضع القديم فليس للمحدث أن يدعي التضرر من ذلك وعليه أن يدفع الضر
2409,ما يُسمح للمحكمة فعله في حالة اعتراف المتهم بالتهمة؟,يُجوز للمحكمة الاكتفاء باعترافه وتحكيم عليه بالعقوبة المناسبة.,يُسمح للمحكمة بالتحكم بالعقوبة التي تستلزمها الجريمة.
1117,ما هو تأثير العمل القانوني الذي يصدر من شخص في مرض الموت ويكون مقصوداً به التبرع؟,يُعتبر التصرف مضافاً إلى ما بعد الموت وتسري عليه أحكام الوصية.,يعتبر التصرف مضافا الى ما بعد الموت وتسري عليه أحكام الوصية.
4083,ما هو محتوى التقرير الذي يجب أن يقدمه مجلس إدارة الشركة المساهمة العامة كل ستة أشهر؟,يجب أن يتضمن التقرير المركز المالي للشركة ونتائج أعمالها وحساب الأرباح والخسائر وقائمة التدفق النقدي والإيضاحات المتعلقة بالبيانات المالية.,يجب أن يتضمن التقرير المركز المالي للشركة ونتائج أعمالها وحساب الأرباح والخسائر وقائمة التدفق النقدي والإيضاحات المتعلقة بالبيانات المالية.
3734,ما يحدث اذا قبل الوزير الاعتراض على تقرير اللجنة؟,يتم رفض تسجيل الشركة إلا إذا عاد الشركاء ووافقوا على التقييم.,يُطلب من الوزير البت في الاعتراض خلال أسبوعين.
2900,ما هي الإجراءات التي يجب اتباعها إذا رأت المحكمة نقصًا في التقرير القانوني المقدم؟,يمكن للمحكمة أن تقرر إعادة التقرير للخبير لاكمال ما ترى فيه من نقص، أو تعهد بالمهمة إلى خبير آخر أو أكثر حسب الأصول.,يجب على المحكمة من تلقاء نفسها أو بناءً على طلب أحد الخصوم دعوة الخبير أو الخبراء للمناقشة ويمكن لها أن تقرر اعادة التقرير إليهم لإكمال ما ترى فيه من نقص أو تعهد بالمهم
1822,من يقوم بتعيين البنك الذي تودع فيه النقابة أموالها؟,يعين البنك الذي تودع فيه النقابة أموالها الاتحاد العام لنقابات العمال.,الاتحاد العام لنقابات العمال.
864,ما الذي يضمنه الوكيل بموجب المادة 866؟,الوكيل يضمن تنازله عن التوكيل في وقت غير مناسب أو بغير مبرر من ضرر للموكل إذا كانت الوكالة باجر.,يضمن الوكيل ما ينجم عن تنازله عن التوكيل في وقت غير مناسب أو بغير مبرر من ضرر للموكل اذا كانت الوكالة باجر.
1353,ما هي الأحكام التي تسريها المادة 1381 من القانون المدني الأردني على رهن المال الشائع؟,تسري على رهن المال الشائع أحكام الرهن التاميني المنصوص عليها فيها.,تسري على رهن المال الشائع أحكام الرهن التاميني المنصوص عليها في القانون المدني الأردني لسنة 1960.
3965,من هو الشخص المسؤول عن توقيع عقد تأسيس الشركة؟,يوقع كل مؤسس عقد التأسيس أمام المراقب أو من يفوضه خطياً.,يجب أن يوقع عقد تأسيس الشركة ونظامها الأساسي من كل مؤسس أمام المراقب أو من يفوضه خطيا بذلك.
3122,من هم المكلفون بتنفيذ أحكام القانون وفقاً للمادة 225؟,رئيس الوزراء والوزراء مكلفون بتنفيذ أحكام هذا القانون.,رئيس الوزراء والوزراء.
3381,من يحق له قرار وقف السير في معاملات التنفيذ؟,يحق للرئيس قرار وقف السير في معاملات التنفيذ عند المرحلة التي وصلت إليها بعد تقديم طلب الوقف وتأييده بالأوراق المطلوبة.,يحق للرئيس قرار وقف السير في معاملات التنفيذ.
2049,في أي حالة يجوز تقديم دعوى الحق العام أمام القضاء الأردني؟,يجوز تقديم دعوى الحق العام أمام القضاء الأردني إذا ارتكبت الجريمة بوسائل إلكترونية خارج المملكة.,يمكن تقديم دعوى الحق العام أمام القضاء الأردني إذا ارتكبت الجريمة بوسائل الكترونية خارج المملكة وترتبت آثارها في المملكة.
1145,ما هو الشرط الأساسي الذي يجب توفره في البيع الذي تثبت فيه الشفعة؟,يجب أن يكون العقار مملوكاً أو منقولاً في نطاق الأحكام التي يقضي بها القانون.,يجب أن يكون البيع عقاراً مملوكاً أو منقولاً في نطاق الأحكام التي يقضي بها القانون.
5149,ما هي العقوبة المحتملة للجناة في حالة حدوث سلب بالصورة الموصوفة في الفقرة الثانية وتسبب في رضوض أو جروح نتيجة العنف؟,يُعاقب الجناة بالأشغال المؤبدة.,يُعاقب بالأشغال المؤبدة إذا حصل فعل السلب بالصورة الموصوفة في الفقرة الثانية وتسبب عن العنف رضوض أو جروح.
4777,ما هو العقاب المحدد للموظف الذي يتهاون في أداء واجباته دون سبب مشروع؟,الغرامة من عشرة دنانير الى خمسين دينارا أو الحبس من أسبوع واحد الى ثلاثة أشهر.,يُعاقب بالغرامة من عشرة دنانير إلى خمسين دينارا أو بالحبس من أسبوع واحد إلى ثلاثة أشهر.
1626,ما هي الحالة التي يمكن للعامل ترك العمل فيها بسبب تخفيض أجره؟,يمكن للعامل ترك العمل في حالة تخفيض أجره وفقاً لأحكام القانون.,عند تخفيض أجره دون مراعاة أحكام المادة 14 من القانون.
4460,ما هو تصنيف البنوك وشركات التأمين وفقًا للمادة 276 ب؟,تستثنى البنوك وشركات التأمين من أحكام المادة المذكورة.,البنوك وشركات التأمين.
4568,ما هي الحالة التي يُجيز فيها مصادرة الأشياء التي كانت معدة لارتكاب جناية؟,يُجيز مصادرة الأشياء التي كانت معدة لارتكاب جناية مقصودة.,يُجوز مصادرة الأشياء التي كانت معدة لارتكاب جناية أو جنحة مقصودة.
1664,ما الذي يحكم تشكيل اللجنة الثلاثية وعملها؟,الأحكام والإجراءات المتعلقة بكيفية تشكيلها وعملها.,يحكم تشكيل اللجنة الثلاثية وعملها بموجب النظام الذي يصدر لهذه الغاية.
2683,متى يسري النص المعدل للاختصاص على الدعاوى؟,يسري النص المعدل للاختصاص على الدعاوى بعد ختام المحاكمة في الدعوى.,يسري النص المعدل للاختصاص على الدعاوى إذا كان تاريخ العمل به بعد ختام المحاكمة في الدعوى.
5616,ما يمكن للمحكمة فعله في حالة عدم استكمال المعترض إجراءات تقديم بيناته الدفاعية؟,تسمح له بإكمالها.,يمكن للمحكمة رد الاعتراض شكلاً.
4170,كيف يعتبر الاجتماع الثاني للهيئة العامة قانونيًا؟,يعتبر الاجتماع الثاني قانونيًا بغض النظر عن عدد الأسهم الممثلة فيه.,يعتبر الاجتماع الثاني قانونياً مهما كان عدد الأسهم الممثلة فيه.
356,ما هي الوسيلة المشروعة لحماية التنفيذ وفق المادة 365؟,ضمان أموال المدين للوفاء بديونه ومساواة جميع الدائنين في هذا الضمان.,الوسيلة المشروعة لحماية التنفيذ وفق المادة 365 هي أموال المدين جميعها التي تكون ضامنة للوفاء بديونه.
5045,ما هي العقوبة المقررة لمن يقوم بإجهاض حامل وهو على علم بحملها؟,يُعاقب بالأشغال المؤقتة لمدة لا تزيد على عشر سنوات.,عوقب بالأشغال المؤقتة مدة لا تزيد على عشر سنوات.
192,ما هو الشرط الذي يجب تحققه ليكون الشخص قادرا على تنفيذ الحقوق باسمه لصالح الغير؟,يجب أن يكون للشخص مصلحة شخصية مادية أو ادبية في تنفيذ تلك الحقوق.,يجب أن يكون الشخص له مصلحة شخصية مادية أو أدبية في تنفيذ الحقوق التي اشترطها لمصلحة الغير.
2203,ما هي الإجراءات التي يمكن اتخاذها من قبل المدعي العام في حال عدم حضور المشتكى عليه؟,يمكن للمدعي العام إصدار مذكرة إحضار بحق المشتكى عليه في حال عدم حضوره أو في حال خشية فراره.,يمكن للمدعي العام إصدار مذكرة إحضار على المشتكى عليه في حال عدم حضوره أو خشيه فراره.
1104,ما هو حكم المادة 1116 من القانون المدني الأردني؟,تنص المادة 1116 على أنه إذا اختص أحد الورثة بدين للتركة، فلا يضمن باقي الورثة لهذا الدين إذا أصبح الورثة الآخرين مدينين ولم يتفقوا على ذلك.,حكم المادة 1116 هو أن باقي الورثة لا يضمنون له المدين إذا هو افلس أو اعسر بعد القسمة إلا إذا اتفق على غير ذلك.
4599,ما هي تعريف النية وفق المادة 63؟,النية هي إرادة ارتكاب الجريمة على ما عرفها القانون.,النية هي إرادة ارتكاب الجريمة على ما عرفها القانون.
897,ما هي التزامات الحارس وفقا للمادة 903؟,يلتزم الحارس بإيفاء ذوي الشأن بالمعلومات الضرورية وتقديم الحساب عن تنفيذ مهمته.,يجب على الحارس أن يوافي ذوي الشان بالمعلومات الضرورية التي تتعلق بتنفيذ مهمته، وأن يقدم الحساب عنها في المواعيد المحددة.
3761,ماذا يمكن للمراقب فعله إذا لم تتم مراعاة الأصول المبينة في القانون؟,يمكن للمراقب عدم اعتماد محضر الاجتماع والقرارات.,يمكن للمراقب عدم اعتماد محضر الاجتماع والقرارات الصادرة عنه.
420,ما هي آثار تعدد طرفي التصرف التضامن بين المدينين؟,تعدد طرفي التصرف التضامن بين المدينين يندرج ضمن آثار الحق الفصل في الباب الثاني.,تعدد طرفي التصرف التضامن بين المدينين يؤدي إلى أن يرجع الباقي المدينين على المدين الذي ابرا الدائن بنصيبه في حصة المعسر.
1032,ما الشرط الوحيد الذي يجيز الرجوع عن القسمة بعد تمامها؟,الشرط الوحيد الذي يجيز الرجوع عن القسمة بعد تمامها هو رضاء جميع الشركاء على فسخ القسمة.,يجوز لجميع الشركاء فسخ القسمة واقالتها برضائهم واعادة المقسوم مشتركاً بينهم كما كان.
4131,ما هي المخالفات التي يمكن أن ترتكبها رئيس وأعضاء مجلس الإدارة لأنظمة الشركة؟,مخالفة رئيس وأعضاء مجلس الإدارة لأنظمة الشركة يمكن أن تشمل الإجراءات التي تتنافى مع سياسات الشركة أو تتجاوز صلاحياتهم المحددة.,يمكنهم مخالفة الأنظمة المحددة للشركة، بما في ذلك القواعد المتعلقة بتعيين الرئيس والمدير العام والسلطات المخولة لهم.
3850,ما الذي يجوز للشركة فعله بالنسبة لأنواع الأسهم وخيارات المساهمة؟,يجوز للشركة إصدار عدة أنواع وفئات من الأسهم وخيارات المساهمة.,يجب تضمينها أو ملخص عنها على شهادات الأسهم.
4924,ما هي الجريمة المعنية في الفصل الثاني من المادة؟,التزوير في المصدقات الكاذبة.,المصدقات الكاذبة.
3098,ما الحق الذي يبقى للغير وفقاً للمادة 208؟,الحق في الاعتراض على الحكم، ما لم يسقط حقه بالتقادم.,يجب أن يبقى للغير الحق في الاعتراض على الحكم ما لم يسقط حقه بالتقادم.
4485,ما هي صفة الاستعجال لدى المحاكم المختصة للقضايا الحقوقية والجزائية المتعلقة بالشركات؟,الاستعجال.,تعطى القضايا الحقوقية والجزائية المتعلقة بالشركات صفة الاستعجال لدى المحاكم المختصة.
1239,ما هي الشروط الضرورية لصحة التحكير؟,يجب أن يكون التحكير لضرورة أو مصلحة محققة للوقف، ويجب الحصول على إذن من المحكمة المختصة وتسجيله في دائرة التسجيل.,يجب أن يتم التحكير بإذن من المحكمة المختصة ويسجل في دائرة التسجيل بعد ذلك.
1966,ما هو الحد الأقصى للغرامة لمن يقوم بإدخال المواد المخدرة إلى إقليم المملكة؟,ثلاثين ألف دينار.,لا تزيد على ثلاثين ألف دينار.
1564,"ما المقصود بـ ""المرض المهني"" وفق هذا القانون؟",الاصابة بأحد الأمراض الصناعية المبينة في الجدول رقم (1) أو الاصابة بأي من الاصابات المهنية المبينة في الجدول رقم (2).,الاصابة بأحد الأمراض الصناعية المبينة في الجدول رقم (1) أو بأي من الاصابات المهنية المبينة في الجدول رقم (2) الملحقين بهذا القانون.
756,هل تسري أحكام عقد الإيجار على إجارة الوقف؟,نعم، تسري أحكام عقد الإيجار على إجارة الوقف في كل ما لا يتعارض مع النصوص السابقة.,تسري أحكام عقد الإيجار على إجارة الوقف في كل ما لا يتعارض مع النصوص السابقة.
3302,ما هي المادة التي تنص على توقيع حكم التحكيم؟,المادة 41 أ.,المادة 41.
3296,هل يمكن لهيئة التحكيم تمديد مدة اصدار الحكم بدون اتفاق الطرفين؟,نعم، يجوز لهيئة التحكيم تمديد مدة اصدار الحكم دون اتفاق الطرفين.,نعم، يمكن لهيئة التحكيم تمديد مدة اصدار الحكم دون اتفاق الطرفين.
2094,ما هو شرط حفظ الأشياء المضبوطة بواسطة النيابة العامة؟,يجب حزم الأشياء المضبوطة في حالة كانت عليها وتوضع في وعاء إن اقتضت طبيعتها ذلك مع ختمها بخاتم رسمي في الحالتين.,يجب حفظ الأشياء المضبوطة بواسطة النيابة العامة في حالة كانت عليها، وتختمها بخاتم رسمي.
4171,ما هي صلاحية الهيئة العامة للشركة المساهمة العامة؟,تشمل صلاحيتها في اجتماعها النظر في جميع الأمور المتعلقة بالشركة واتخاذ القرارات المناسبة.,تتضمن صلاحية الهيئة العامة النظر في جميع الأمور المتعلقة بالشركة ومناقشتها واتخاذ القرارات المناسبة بشأنها.
4999,ما هي العقوبة المحددة في المادة 310 لمن يقود أنثى دون العشرين من العمر ليواقعها شخص مواقعة غير مشروعة؟,الحبس من ستة أشهر إلى ثلاث سنوات وغرامة من 200 دينار إلى 500 دينار.,الحبس من ستة أشهر إلى ثلاث سنوات وبغرامة من مائتي دينار إلى خمسمائة دينار.
2430,ما الإجراء الذي يتخذه المتهم إذا أراد إثبات دفاعه بشهود أو بينات أخرى؟,يجب عليه تقديم قائمة بيناته خلال شهر.,يجب على المتهم تقديم قائمة بيناته خلال شهر من تاريخ إعطاء الإفادة.
3620,ما هي المدة التي يجب أن تقوم الشركة خلالها بطلب تسجيل التغيير بعد إجرائه؟,يجب على الشركة طلب تسجيل التغيير خلال سبعة أيام من إجرائه، وذلك بعد دفع الرسوم المقررة عنه ونشره في الجريدة الرسمية وصحيفة محلية على نفقة الشركة.,يجب أن تقوم الشركة بطلب تسجيل التغيير لاسمها أو التعديل الذي أدخلته عليه في السجل الخاص بشركات التضامن خلال سبعة أيام من إجرائه بعد استيفاء الرسوم المقررة عنه.
5608,من يحق له الاستئناف بموجب المادة 14 من القانون؟,النيابة العامة والمدعي الشخصي والمحكوم عليه المسؤول بالمال.,النيابة العامة والمدعي الشخصي والمحكوم عليه المسؤول بالمال.
116,ما هي صلاحية المحكمة بخصوص الحجر على الصغير بعد الإذن؟,للمحكمة بعد الإذن أن تعيد الحجر على الصغير.,يمكن للمحكمة بعد الإذن أن تعيد الحجر على الصغير.
3310,ماذا يحدث إذا أوقفت الهيئة التحكيمية الإجراءات أثناء التحكيم؟,يترتب على ذلك وقف سريان الموعد المحدد لإصدار حكم التحكيم.,توقف الإجراءات حتى يصدر حكم قطعي في الشأن المذكور.
38,من يعتبر من ذوي القربى وفقاً للمادة 34؟,كل من يجمعهم أصل مشترك.,ذوي القربى هم الذين يجمعهم أصل مشترك وفقاً للمادة 34.
4484,ما هي الفقرة النهائية للمادة 283؟,تتضمن أحكام ختامية للتنظيمات القانونية المتعلقة بالتمثيل أمام المحاكم.,تحدد الأحكام الختامية للمادة 283.
1285,ما هو الحظر الذي يفرضه قانون المادة 1303 على مالك الأرض العالية؟,قانون المادة 1303 يمنع مالك الأرض العالية من القيام بأي عمل يزيد من عبء الأرض المنخفضة التي تتلقى السيل الطبيعي.,لا يجوز لمالك الأرض المنخفضة أن يقيم سداً لمنع السيل الطبيعي من الأراضي العالية.
3474,متى يُعتبر افتتاح المزايدة؟,من تاريخ اليوم التالي للاعلان.,يُعتبر افتتاح المزايدة من تاريخ اليوم التالي للاعلان.
1419,ما هي الفصول التي يندرج تحتها المادة 1445 في القانون؟,المادة 1445 تندرج ضمن الباب الثالث- التوثيق العيني بنص القانون (حقوق الامتياز) الفصل الثاني- أنواع الحقوق الممتازة.,تندرج تحتها المادة 1445 في القانون الفصل الثاني من الفصل الثاني من الباب الثالث.
5038,ما هي الإجراءات التي يمكن للشاكي اتخاذها إذا قرر التنازل عن شكواه قبل حصول الحكم الدرجة القطعية؟,يحق للشاكي التنازل عن شكواه حتى يحصل الحكم الدرجة القطعية.,يمكن للشاكي أن يتنازل عن شكواه حتى تصبح الحكم الدرجة القطعية، وفي هذه الحالة تسقط دعوى الحق العام.
3139,ماذا يعني الحديث عن أسناد التجارية في هذه المادة؟,الحديث عن أسناد التجارية يشير إلى أن هذه المادة لا تنطبق على الوثائق التجارية، حتى لو كانت موقعة من قبل أطراف غير تجارية.,يعني الحديث عن أسناد التجارية في هذه المادة أن هذه السندات لا تكون حجة على الغير إلا إذا كانت موقعة أو مظهرة من التجار لسبب مدني.
5802,ما الجهة المسؤولة عن تنفيذ الاحكام التأديبية ضد المحامين؟,تنفذ الأحكام التأديبية ضد المحامين بواسطة النيابة العامة.,تنفذ الاحكام التأديبية ضد المحامين بواسطة النيابة العامة.
4146,هل يُسمح بتوزيع مكافأة في حال كانت الشركة في مرحلة التأسيس ولم تحقق أرباحاً بعد؟,نعم، يُسمح بتوزيع مكافأة بحد أقصى لا يتجاوز الف دينار لكل عضو.,نعم، يجوز توزيع مكافأة سنوية بمعدل لا يتجاوز الف دينار لكل عضو حتى تُحقِق الشركة أرباحاً.
467,متى يبدأ الأجل في حال كان الثمن مؤجلاً أو مقسطاً؟,يبدأ الأجل من تاريخ تسلم المبيع.,يبدأ الأجل من تاريخ تسلم المبيع.
5225,كم تبلغ الحد الأدنى والحد الأقصى للغرامة المفروضة على من يقوم بتدمير الممتلكات وفقاً للمادة 443؟,الحد الأدنى للغرامة هو مائة دينار، والحد الأقصى هو خمسمائة دينار.,يبلغ الحد الأدنى 100 دينار ويبلغ الحد الأقصى 500 دينار.
725,ما هو المضمون الرئيسي للمادة 740 من القانون المدني الأردني؟,توزيع المسؤوليات والنفقات بين المساقي وصاحب الشجر.,المادة 740 من القانون المدني الأردني تتناول الأعمال والنفقات التي تحتاج اليها المساقاة وتحدد الأحكام المتعلقة بها.
1591,ما يحدث إذا استمر العامل في تنفيذ عقد العمل لمدة محدودة بعد انقضاء مدته؟,يُعتبر ذلك تجديدًا للعقد لمدة غير محدودة من بداية الاستخدام.,يعتبر تجديدًا لمدة غير محدودة.
3481,ما هي الإجراءات التي يجب اتخاذها من قبل المدين خلال ثلاثين يوما من تاريخ الإحالة القطعية؟,يجب على المدين أن يودع في صندوق الدائرة مبلغًا يكفي لوفاء الديون والفوائد والنفقات للدائن والدائنين الآخرين.,يجب على المدين أن يودع في صندوق الدائرة مبلغا يكفي لوفاء الديون والفوائد والنفقات خلال ثلاثين يوما من تاريخ الإحالة القطعية.
4443,ما هو الشرط الذي يمكن لأي متضرر من أعمال المصفي وإجراءاته أن يطعن فيه؟,يمكن لأي متضرر من أعمال المصفي وإجراءاته أن يطعن فيها لدى المحكمة التي يمكنها تأييدها أو إبطالها أو تعديلها.,يمكن لأي متضرر من أعمال المصفي وإجراءاته أن يطعن في أعمال المصفي وإجراءاته لدى المحكمة التي لها أن تؤيدها أو تبطلها أو تعدلها.
1931,ما هي العقوبة المفروضة على من يقاوم المكلفين بتنفيذ أحكام القانون والأنظمة؟,الحبس لا تقل عن سنة وغرامة لا تقل عن خمسمائة دينار ولا تزيد على ألف دينار.,الحبس لمدة لا تقل عن سنة وغرامة لا تقل عن خمسمائة دينار.
3713,ما الذي يحدده القانون في المادة 52 بخصوص عقد شركة المحاصة؟,يحدد القانون حقوق الشركاء في الشركة والالتزامات المترتبة عليهم تجاه الشركة وتجاه بعضهم.,يحدد عقد شركة المحاصة حقوق الشركاء والالتزامات المترتبة عليهم تجاه الشركة وتجاه بعضهم بما في ذلك كيفية توزيع الأرباح والخسائر بينهم.
5210,ما هي المضاربات التي ينظمها القانون ويعاقب على مخالفتها؟,المضاربات الغير مشروعة، مثل تعطيل أو عرقلة حرية المزايدة العلنية المتعلقة بالبيع، الشراء، التأجير، الالتزامات، أو التعهد.,المضاربات غير المشروعة هي المضاربات التي ينظمها القانون ويعاقب على مخالفتها.
4561,كم يوما يستمر يوم العقوبة وفقا للمادة 40؟,يوم العقوبة يستمر لمدة أربع وعشرون ساعة.,يستمر يوم العقوبة أربع وعشرون ساعة وفقا للمادة 40.
1499,ما هي العقوبة المقررة لمن ينشئ أو يدير موقعاً إلكترونياً بدون تصريح؟,يُعاقب بالحبس لا يقل عن سنتين وبغرامة لا تقل عن 10000 دينار ولا تزيد على 30000 دينار.,الحبس لمدة لا تقل عن سنتين وغرامة لا تقل عن 10000 دينار ولا تزيد على 30000 دينار.
